Site_ID,Site_Type,Site_Name,State,Latitude,Longitude,Lat_Long_Datum,Lat_Long_Source,Elevation_in_Meters,Elevation_Source,Degree_of_Development_Surrounding_Site,Landscape_Description,Proximity_to_Road,Proximity_to_Permanent_Water,Area_of_Site,Type_of_Forest_at_Site,Presence_of_Slope,Location_Relative_to_Slope,Slope_Aspect,Presence_of_Domesticated_Cats,Presence_of_Domesticated_Dogs,Presence_of_Domesticated_Animals,Presence_of_Garden,Presence_of_Bird_Feeder,Presence_of_Nesting_Box,Presence_of_Fruit,Presence_of_Birdbath,Presence_of_Other_Features_Designed_to_Attract_Animals,Site_Comments,Site_Registration_Date
867,Personal,Heron Valley Farm,PA,39.859409,-76.65818,,,163,Auto-USGS-WebService,Rural,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)",,At the bottom of the slope or in a valley between slopes,Northwest,,,,,,,,,,,
943,Personal,morning dog walk,MA,42.45303,-73.261932,WGS84,Google Maps,301,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",10 ft,50 ft,2 ac,"Mostly deciduous trees (for example, maple or larch)","Yes, and the site is...",At the bottom of the slope or in a valley between slopes,East,1,1,,1,,,,1,,,
947,Personal,my side yard,SC,34.914013,-80.931053,,,196,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
949,Personal,home,OH,39.816456,-83.858879,,,309,Auto-USGS-WebService,Rural,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,Birch Creek runs through the site.,
950,Personal,Crosby Sanctuary-Duval Audubon,FL,30.178402,-81.757507,,,2,Auto-USGS-WebService,Suburban,Forest or woodland,,,,A mixture of evergreen and deciduous trees,,At the bottom of the slope or in a valley between slopes,Northwest,,,,,,,,,,"Site sits at bottom of large seepage slope that is mostly residential development/homes.  Site is made up of two areas; a more open front entrance area 8-acres, and a bottomland swamp area 380 acres.",
952,Personal,home,NY,41.053677,-71.934326,,,9,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
954,Personal,home,PA,39.854397,-76.038849,,,123,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
962,Personal,Merlin Ranch Headquarters,WY,44.419422,-106.588882,,,1328,User,,,,,,,,,,,,,,,,,,,,
966,Personal,My Back Yard,MO,38.907433,-94.437477,,,293,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
973,Personal,Home,MI,42.285683,-84.128387,WGS84,Google Maps,307,Auto-USGS-WebService,Rural,"Agricultural field, cropland or pasture",1320 ft,200 yd,110 ac,"Mostly deciduous trees (for example, maple or larch)","Yes, and the site is...",On the top of the slope or on a ridge,Southwest,1,,,1,1,1,,,,"The site is my home which faces South toward 14 acres of hay fields, which are surrounded by wetland and forest. 100 feet North of my home, is a decidious treeline which separates my property from the farmers fields of corn and bean crops.",
974,Personal,Lower Vine Brook at North Street,MA,42.466019,-71.212372,WGS84,Google Maps,51,Auto-USGS-WebService,Suburban,Forested wetland (such as swamp or mangrove),20 ft,0 ft,50 ft2,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,1,,,,,,Stream side habitat,
1029,Personal,Home,MI,42.457664,-82.964958,,,187,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1044,Personal,Park,OH,41.348431,-81.841576,,,250,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1049,Personal,my yard,MD,38.607044,-76.66803,,,18,Auto-USGS-WebService,Suburban,Forest or woodland,,,,A mixture of evergreen and deciduous trees,,In the middle of the slope,South,,,,,,,,,,"the area is a gentle slope to the south, and to the west, down to the Patuxent River",
1068,Personal,my back yard,DE,38.776115,-75.152031,,,4,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1074,Personal,Wilcox Farm,IN,39.367615,-85.242989,,,241,Auto-USGS-WebService,Rural,Other (please describe in the comments section),,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",At the bottom of the slope or in a valley between slopes,East,,,,,,,,,,"Second growth forest by stream, newly planted forest approx. 7 acres, fallow field 5 acres, lawn approx. 1 acre. House, barn, outbuildings.",
1080,Personal,Yard plus,MO,38.976334,-94.441574,,,287,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1108,Personal,neighbor O backyard,MD,39.026295,-77.07859,,,94,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1130,Personal,home,VA,38.963001,-77.338379,,,111,Auto-USGS-WebService,Suburban,Other (please describe in the comments section),,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,Mixed deciduous woods in Suburban setting,
1138,Personal,home,PA,40.220284,-74.95459,,,44,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1167,Personal,home,PA,40.096401,-75.970802,,,267,Auto-USGS-WebService,Rural,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)",,In the middle of the slope,West,,,,,,,,,,,
1211,Personal,my front yard,TN,36.161465,-87.016701,,,166,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,,,At the bottom of the slope or in a valley between slopes,Southwest,,,,,,,,,,,
1218,Personal,back yard,WA,47.676506,-122.360168,,,67,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,,In the middle of the slope,West,,,,,,,,,,"Back yard with small area of lawn surrounded by shrubs, mostly non-needle evergreens, 4 deciduous trees",
1255,Personal,my back yard,MD,38.970875,-77.131508,,,74,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1294,Personal,my land,MN,45.379356,-93.076744,,,274,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1315,Personal,East Yard,NM,36.517315,-105.570129,,,2327,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1322,Personal,Home,VA,37.4659,-79.972916,,,388,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,"Mostly deciduous trees (for example, maple or larch)",,In the middle of the slope,Northeast,,,,,,,,,,,
1327,Personal,my NE side yard,MA,42.546036,-71.3545,,Google Maps,87,Auto-USGS-WebService,Suburban,Forest or woodland,,,,"Mostly evergreen trees (for example, pine or live oak)",,On the top of the slope or on a ridge,East,,,,,,,,,,The open area to the south is an old apple orchard with scattered apple trees. The wooded area to the north is mostly tall White Pine. The site is at the woodland edge along an old stone wall that runs east - west. There is a large old oak tree along the wall as well. ,
1340,Personal,Hanging Rock State Park,NC,36.394688,-80.266373,,,520,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1385,Personal,front and back yard,VA,38.845295,-77.329628,,Google Maps,121,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1386,Personal,back yard,NC,36.003922,-79.878731,,Google Maps,261,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,"Mostly deciduous trees (for example, maple or larch)",,On the top of the slope or on a ridge,Northwest,,,,,,,,,,Many large overstory trees and natural areas with understory trees and shrubs; a small area of lawn.  The neighborhood is largely of this type.  Oak [Q. alba and rubrum] and tulip poplar [Liriodendron tulipifera] dominate.,
1391,Personal,Yard Sapps Still,GA,31.715519,-82.937538,,Google Maps,97,Auto-USGS-WebService,Rural,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,,On the top of the slope or on a ridge,North,,,,,,,,,,The slope mentioned above is approximately 50 meters to the north of the 1.44 acre yard which I will monitor.,
1404,Personal,"Dog River, Northfield",VT,44.137501,-72.65889,,User,207,User,Wildlands or semi-wildlands,Open wetland (such as marsh or bog with few or no trees),,,,A mixture of evergreen and deciduous trees,,At the bottom of the slope or in a valley between slopes,East,,,,,,,,,,"The site is on the edge of Norwich University campus, between the railroad tracks and the Dog River.  There are grassy clearings (3-10 meters wide) between the slope and the river that get mowed once per month. The trees near the site are mostly less than 6&quot; dbh, suggesting the site was cleared not long ago.  There is beaver activity throughout the site.",
1419,Personal,backyard,IL,42.011166,-88.503304,,Google Maps,280,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1447,Personal,Home,MI,42.176537,-85.892448,WGS84,Google Maps,230,Google Elevation Service,Rural,"Shrubland, shrub thicket or shrubby field (with few tall trees)",50 yd,4 mi,10 ac,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,,
1453,Personal,wooded seasonal stream ,CT,41.808941,-72.188751,,Google Maps,148,Auto-USGS-WebService,Rural,Other (please describe in the comments section),,,,"Mostly deciduous trees (for example, maple or larch)",,In the middle of the slope,Northeast,,,,,,,,,,"The site is between grassed lawn and a Right-of-way containing a Algonquin Natural Gas Pipelines. Within the forested site area is a seasonal stream. The site is sloped toward the road, and feeds the man-made pond (dammed)on the other side, down-street.",
1461,Personal,backyard,MI,42.283501,-83.771729,,Google Maps,275,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,,
1476,Personal,home,SC,34.750793,-82.344971,,Google Maps,252,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1493,Personal,Kresson Elementary School,NJ,39.858871,-74.927414,,Google Maps,26,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1504,Personal,home,MD,39.417423,-77.404015,,Google Maps,89,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1524,Personal,Homestead,MN,45.339485,-92.913094,,Google Maps,283,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1536,Personal,home,MO,39.039295,-94.437675,,Google Maps,316,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1550,Personal,George Rd.,VT,44.341782,-72.461853,,User,457,User,Rural,Other (please describe in the comments section),,,,A mixture of evergreen and deciduous trees,,At the bottom of the slope or in a valley between slopes,Northwest,,,,,,,,,,"The site is along a minor dirt road, at the bottom of a slope that ends in a small stream and flood plain.  The trees selected are between the road and the stream, a section that varies from 5-30 feet wide.  The site continues on up the road along a steep hill.",
1559,Personal,The Callahans,CA,39.289673,-123.373718,WGS84,Google Maps,212,User,Rural,Forest or woodland,200 yd,3 mi,5 ac,"Mostly evergreen trees (for example, pine or live oak)","Yes, and the site is...",In the middle of the slope,North,1,1,Horses,1,1,,1,1,,,
1567,Personal,front yard,WI,42.997086,-88.101791,,Google Maps,269,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1581,Personal,Cove Marsh,MA,42.088829,-70.936188,,Google Maps,24,Auto-USGS-WebService,Wildlands or semi-wildlands,Forested wetland (such as swamp or mangrove),500 ft,0 ft,2 ac,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,1,,,,,,"2 acre marsh surrounded by hardwood conservation lands, small stream, nearby larger marsh and river.  Houses on West side of 2 acre marsh.  50 years ago, the marsh was still a pond.  Historically, it was a cove of a larger lake all of which is now wet meadow.",
1597,Personal,Wolfhaunt Rock Ridge,MN,48.054951,-92.765915,,Google Maps,412,Auto-USGS-WebService,Wildlands or semi-wildlands,Forest or woodland,,,,A mixture of evergreen and deciduous trees,,In the middle of the slope,Southeast,,,,,,,,,,THIS IS A NWS COOP WEATHER SITE: ORR 3 EAST 21-26111 FOR THE DULUTH OFFICE OF THE NWS.,
1598,Personal,Wolfhaunt Creek,MN,48.051636,-92.766304,,Google Maps,395,Auto-USGS-WebService,Wildlands or semi-wildlands,Forested wetland (such as swamp or mangrove),,,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",In the middle of the slope,Northwest,,,,,,,,,,THIS IS A NWS COOP WEATHER SITE: ORR 3 EAST 21-26111 FOR THE DULUTH OFFICE OF THE NWS.,
1601,Personal,Home,IN,38.377831,-85.921623,,Google Maps,254,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1605,Personal,SUNY Stony Brook,NY,40.907997,-73.120705,,Google Maps,58,Auto-USGS-WebService,Suburban,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,"The name of this site is called the Ashley Schiff Preserve and it is located on the State University of NY Stony Brook campus. It is roughly 26 acres in size and is a woodlot predominantly composed of oak, maple, and eastern hophornbeam. The soil is mostly made of deposited glacial sediments.  It is surrounded by suburbs.",
1646,Personal,my yard,NY,42.763412,-78.619591,,Google Maps,276,Auto-USGS-WebService,Other (please describe in comments box),"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",100 ft,250 ft,7500 sqyd,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,1,,,1,,,,,"untended area with weedy plants and small shrubs, an old apple tree where the woodchuck den is located.","Village with mostly older houses (70 to 100+yrs.) in the immediate area, open field across the street.  Cazenovia Creek runs through village to the west and south, has steep banks.  ",
1657,Personal,University of Denver,CO,39.603176,-105.071312,,Google Maps,1609,User,,,,,,,,,,,,,,,,,,,,
1668,Group,Spicebush Trail,NY,40.866283,-73.875717,,Google Maps,21,Auto-USGS-WebService,Urban,Forest or woodland,,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",On the top of the slope or on a ridge,,,,,1,,,,,,,
1781,Personal,Around the Yard,MN,44.046604,-92.460861,,Google Maps,303,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1807,Personal,Park Falls High School,WI,45.949032,-90.45134,,Google Maps,465,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1815,Personal,home,ME,44.404682,-68.301704,,Google Maps,49,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1817,Personal,my front yard,MN,44.889259,-93.341339,,Google Maps,265,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,,
1829,Personal,gordon ranger station,WI,46.245239,-91.803795,,Google Maps,316,Auto-USGS-WebService,Suburban,Other (please describe in the comments section),,,,"Mostly evergreen trees (for example, pine or live oak)","No, the surrounding terrain is relatively flat",,North,,,,,,,,,,Park like setting,
1836,Personal,Exotic Gardening Farms and Wildlife Habitat,IN,40.579308,-85.655182,,Google Maps,248,Auto-USGS-WebService,Rural,"Agricultural field, cropland or pasture",,,,A mixture of evergreen and deciduous trees,,At the bottom of the slope or in a valley between slopes,West,,,,,,,,,,,
1841,Personal,Home,OH,39.973316,-82.802826,,Google Maps,275,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1844,Personal,"Casper Mountain, southtop",WY,42.719215,-106.30294,,Google Maps,2352,Auto-USGS-WebService,Wildlands or semi-wildlands,Forest or woodland,,,,A mixture of evergreen and deciduous trees,,On the top of the slope or on a ridge,South,,,,,,,,,,,
1879,Personal,University of Denver,CO,39.678509,-104.962807,,Google Maps,1633,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1880,Personal,University of Denver,CO,39.67675,-104.965248,,Google Maps,1629,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1895,Personal,lost mound,IL,42.181206,-90.260826,,Google Maps,194,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1896,Personal,LM River Rd,IL,42.205841,-90.326866,,Google Maps,186,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1897,Personal,back yard,PA,40.64323,-75.315399,,Google Maps,99,Auto-USGS-WebService,Suburban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",50 ft,1 mi,1 ac,,,,,,,,1,,,,,,,
1904,Personal,Home,MN,47.143215,-93.431,WGS84,Google Maps,394,Google Elevation Service,Rural,Forest or woodland,0.3 mi,300 ft,40 ac,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,"The site is a mixture of northern hardwoods, aspen (P. Tremuloides, P. grandidentata) a plantation of red pine and white spruce, tamarack, and an occasional white pine. Along with 20 acres of wetlands predominantly Black Spruce and Tamarack.",
1915,Group,Cary Institute PSB,NY,41.78344,-73.732552,,Google Maps,128,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1947,Personal,Garden 1,WI,42.778805,-87.854042,,Google Maps,208,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1948,Personal,Garden 2,WI,42.778507,-87.853966,,Google Maps,207,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1956,Personal,home,AK,61.301197,-149.517426,,Google Maps,131,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1966,Personal,143 N Main St,NY,42.261906,-77.78598,,Google Maps,519,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
1985,Personal,1,NC,35.97707,-77.797409,,Google Maps,28,Auto-USGS-WebService,,,,,,,,,,,,,1,,,,,,,
2042,Personal,home,AK,61.19146,-149.85379,,Google Maps,34,Auto-USGS-WebService,Urban,"Landscaped area (such as vegetable or flower garden, lawn, arboretum)",,,,A mixture of evergreen and deciduous trees,"No, the surrounding terrain is relatively flat",,,,,,,,,,,,,
2119,Group,Bridge Trail,NY,40.862221,-73.875191,,Google Maps,26,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
2120,Group,Ridge Trail,NY,40.863445,-73.876656,,Google Maps,43,Auto-USGS-WebService,,,,,,,,,,,,,1,,,,,,,
2181,Personal,Kings Mountain National Military Park,SC,35.1413,-81.387886,,Google Maps,281,Auto-USGS-WebService,Wildlands or semi-wildlands,Forest or woodland,0 ft,,3945 ac,,,,,,,,1,,,,,,,
2195,Personal,home,PA,39.999107,-75.388504,,Google Maps,92,Auto-USGS-WebService,Suburban,,,,,"Mostly deciduous trees (for example, maple or larch)","No, the surrounding terrain is relatively flat",,,,,,,,,,,,,
2239,Personal,Dunton Street yard,NC,35.405064,-80.906181,,Google Maps,207,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
2283,Personal,Home,WV,39.36087,-79.689758,,Google Maps,435,Auto-USGS-WebService,,,,,,,,,,,,,,,,,,,,
2313,Group,Thompson Island,MA,42.318607,-71.009399,,Google Maps,1,Auto-USGS-WebService,Wildlands or semi-wildlands,Forest or woodland,,,,A mixture of evergreen and deciduous trees,,,,,,,,,,,,,"The &quot;site&quot; is an entire island, with various slopes and aspects.",
